condition,doc_id,runs,old_reviews,new_reviews,delta_reviews,old_share_pct,new_share_pct
phase_t2_colonial,North&Weingast_1989,30,15,14,-1,50.0,46.7
phase_t2_colonial,North_1989,30,14,14,0,46.7,46.7
phase_t2_colonial,Nunn&Wantchekon_2011,30,30,30,0,100.0,100.0
phase_t2_colonial,Nunn_2008,30,30,30,0,100.0,100.0
phase_t2_colonial,Ogilvie_2007,30,1,1,0,3.3,3.3
phase_t2_colonial,Pamuk_2007,30,3,3,0,10.0,10.0
phase_t2_colonial,Peters_2004,30,4,4,0,13.3,13.3
phase_t2_colonial,Sokoloff&Engerman_2000,30,7,7,0,23.3,23.3
phase_f1_adversarial_irrelevant,Abramovitz_1986,100,45,45,0,45.0,45.0
phase_f1_adversarial_irrelevant,AcemogluEtAl_2001,100,99,100,1,99.0,100.0
phase_f1_adversarial_irrelevant,AcemogluEtAl_2002,100,99,99,0,99.0,99.0
phase_f1_adversarial_irrelevant,Akyeampong&Fofack_2014,100,8,9,1,8.0,9.0
phase_f1_adversarial_irrelevant,Austin_2008,100,39,39,0,39.0,39.0
phase_f1_adversarial_irrelevant,Broadberry&Gupta_2006,100,40,41,1,40.0,41.0
phase_f1_adversarial_irrelevant,Bryant_2006,100,23,23,0,23.0,23.0
phase_f1_adversarial_irrelevant,Clark&Jacks_2007,100,29,29,0,29.0,29.0
phase_f1_adversarial_irrelevant,Domar_1970,100,38,40,2,38.0,40.0
phase_f1_adversarial_irrelevant,Hopkins_2009,100,11,11,0,11.0,11.0
phase_f1_adversarial_irrelevant,Hornbeck_2010,100,81,81,0,81.0,81.0
phase_f1_adversarial_irrelevant,Komlos_1998,100,60,59,-1,60.0,59.0
phase_f1_adversarial_irrelevant,Kuznets_1973,100,60,60,0,60.0,60.0
phase_f1_adversarial_irrelevant,Lindert&Williamson_1985,100,6,6,0,6.0,6.0
phase_f1_adversarial_irrelevant,Mokyr_2005,100,59,59,0,59.0,59.0
phase_f1_adversarial_irrelevant,North&Weingast_1989,100,98,99,1,98.0,99.0
phase_f1_adversarial_irrelevant,North_1989,100,97,97,0,97.0,97.0
phase_f1_adversarial_irrelevant,Nunn_2008,100,18,18,0,18.0,18.0
phase_f1_adversarial_irrelevant,Ogilvie_2007,100,76,76,0,76.0,76.0
phase_f1_adversarial_irrelevant,Pamuk_2007,100,54,54,0,54.0,54.0
phase_f1_adversarial_irrelevant,Sokoloff&Engerman_2000,100,58,59,1,58.0,59.0
phase_f1_adversarial_irrelevant,Stern_2004,100,3,3,0,3.0,3.0
phase_f1_adversarial_irrelevant,Temin_2002,100,27,28,1,27.0,28.0
phase_f1_adversarial_irrelevant,Whatley_2018,100,9,9,0,9.0,9.0
phase_f1_adversarial_irrelevant,Williamson_1996,100,1,1,0,1.0,1.0
phase_f1_adversarial_irrelevant,vanZanden_1999,100,32,32,0,32.0,32.0
phase_f1_adversarial_irrelevant,vanZanden_2009,100,7,7,0,7.0,7.0
phase_f2_adversarial_culture,Abramovitz_1986,100,22,22,0,22.0,22.0
phase_f2_adversarial_culture,AcemogluEtAl_2001,100,100,100,0,100.0,100.0
phase_f2_adversarial_culture,AcemogluEtAl_2002,100,100,100,0,100.0,100.0
phase_f2_adversarial_culture,Akyeampong&Fofack_2014,100,47,47,0,47.0,47.0
phase_f2_adversarial_culture,Austin_2008,100,89,89,0,89.0,89.0
phase_f2_adversarial_culture,Broadberry&Gardner_2022,100,28,28,0,28.0,28.0
phase_f2_adversarial_culture,Broadberry&Gupta_2006,100,73,71,-2,73.0,71.0
phase_f2_adversarial_culture,Bryant_2006,100,24,24,0,24.0,24.0
phase_f2_adversarial_culture,Goldin_2006,100,44,44,0,44.0,44.0
phase_f2_adversarial_culture,Hopkins_2009,100,26,26,0,26.0,26.0
phase_f2_adversarial_culture,Hornbeck_2010,100,18,19,1,18.0,19.0
phase_f2_adversarial_culture,McCloskey_2015,100,74,75,1,74.0,75.0
phase_f2_adversarial_culture,Mokyr_2005,100,72,73,1,72.0,73.0
phase_f2_adversarial_culture,North&Weingast_1989,100,100,100,0,100.0,100.0
phase_f2_adversarial_culture,North_1989,100,100,100,0,100.0,100.0
phase_f2_adversarial_culture,Nunn&Wantchekon_2011,100,100,100,0,100.0,100.0
phase_f2_adversarial_culture,Nunn_2008,100,92,92,0,92.0,92.0
phase_f2_adversarial_culture,Ogilvie_2007,100,86,86,0,86.0,86.0
phase_f2_adversarial_culture,Pamuk_2007,100,33,33,0,33.0,33.0
phase_f2_adversarial_culture,Sokoloff&Engerman_2000,100,91,89,-2,91.0,89.0
phase_f2_adversarial_culture,Stern_2004,100,3,3,0,3.0,3.0
phase_f2_adversarial_culture,deVries_1994,100,19,19,0,19.0,19.0
phase_f2_adversarial_culture,vanZanden_1999,100,25,26,1,25.0,26.0
phase_f2_adversarial_culture,vanZanden_2009,100,5,5,0,5.0,5.0
